Real Time,User Time,Sys Time
22.3871,74.8,50.3636
22.3871,74.8,50.3636
70.4516,22.2692,46.907
20.2432,67.1333,61.1212
22.3871,75.5,49.3721
22.3871,75.5,49.3721
40.3333,77.9655,27.0769
70.4516,46.907,22.2692
70.4516,22.2692,46.907
72.4865,24.1923,39.7027
72.4865,24.1923,39.7027
35.2121,28.0333,75.0541
45.3023,24.1923,71.0645
22.2692,70.4516,46.907
22.2692,70.4516,46.907
71.0645,24.1923,45.3023
20.2432,61.1212,67.1333
75.5,45.625,24.1154
20.697,70.5185,54.825
20.697,70.5185,54.825
61.1212,20.2432,67.1333
70.5185,20.697,54.825
20.2432,68.1875,59.6452
20.2432,68.1875,59.6452
54.825,70.5185,20.697
48.2955,23.0667,75.5
45.3023,24.1923,71.0645
23.9259,46.1915,75.5
23.9259,46.1915,75.5
68.1875,59.6452,20.2432
22.2692,70.4516,46.907
50.5405,68.8182,21.3
50.5405,68.8182,21.3
70.4516,50.5405,22.6875
79.4815,29.25,40.3333
24.1154,45.625,75.5
24.1154,75.5,45.625
24.1154,75.5,45.625
51.5526,68.1875,21.3
22.5,74.8,50.9302
24.1923,72.4865,39.7027
24.1923,72.4865,39.7027
29.25,79.4815,40.3333
24.1923,45.3023,71.0645
67.1333,20.2432,61.1212
29.25,79.4815,40.3333
29.25,79.4815,40.3333
45.3023,71.0645,24.1923
22.5,74.8,50.9302
28.1481,78.75,40.3333
28.1481,78.75,40.3333
49.3721,22.3871,75.5
70.5185,54.825,20.697
41.4565,28.1481,78.2593
20.2432,59.6452,68.1875
20.2432,59.6452,68.1875
20.2432,59.6452,68.1875
33.7812,77.1429,30.2727
30.2727,77.1429,33.7812
29.25,79.4815,40.3333
29.25,79.4815,40.3333
79.4815,40.3333,29.25
79.4815,40.3333,29.25
78.75,40.3333,28.1481
78.75,40.3333,28.1481
68.8182,50.5405,21.3
50.9302,22.5,74.8
70.4516,22.2692,46.907
75.5,23.9259,46.1915
75.5,23.9259,46.1915
79.9643,33.7812,36.5
50.9302,74.8,22.5
71.0645,45.3023,24.1923
71.0645,45.3023,24.1923
75.5,24.1154,45.625
